_id,amount,brand,category,description,price,stock,tipo,url
"""6663175c6bfd9ac847334696""",arroz,no se pasa,dos hermanos,500g,1400,almacen,https://res.cloudinary.com/dp7xhhcec/image/upload/v1718477674/u9p4mk5razx9dyoy7cip.webp,true
"""6663175c6bfd9ac847334698""",gaseosa,sin azucar retornable vidrio,coca cola,1lt,1700,bebidas_sin_alcohol,https://res.cloudinary.com/dp7xhhcec/image/upload/v1717787119/zwszbmzza28g7qxupzjv.webp,true
"""6663175c6bfd9ac847334697""",arroz,largo fino,dos hermanos,1kg,2100,almacen,https://res.cloudinary.com/dp7xhhcec/image/upload/v1717787063/wagyyg7tmr8kyynk7cjx.webp,true
"""6663175c6bfd9ac847334699""",pan de mesa,lacteado,don yeyo,350g,1700,almacen,https://res.cloudinary.com/dp7xhhcec/image/upload/v1717864889/hr3yi3onkvcjn7rtdu2w.webp,true
"""6663175c6bfd9ac84733469a""",pan de mesa,salvado,don yeyo,350g,1700,almacen,https://res.cloudinary.com/dp7xhhcec/image/upload/v1717787210/c5jsyboe6osv7xbtlcvp.webp,true
"""6663175c6bfd9ac84733469e""",ravioles,espinaca y ricota,don yeyo,500g,2300,frescos,https://res.cloudinary.com/dp7xhhcec/image/upload/v1717787279/isvhdqbzafe8ov0oahmw.webp,true
"""6663175c6bfd9ac84733469b""",ravioles,cuatro queso,don yeyo,500g,2300,frescos,https://res.cloudinary.com/dp7xhhcec/image/upload/v1717787227/ozqjlwm97wnhiwhkvmru.webp,true
"""6663175c6bfd9ac84733469c""",ravioles,espinaca y carne,don yeyo,500g,2300,frescos,https://res.cloudinary.com/dp7xhhcec/image/upload/v1717787254/ib3tm15ymsvtas2vuf5j.webp,true
"""6663175c6bfd9ac84733469d""",ravioles,espinaca y pollo,don yeyo,500g,2300,frescos,https://res.cloudinary.com/dp7xhhcec/image/upload/v1717787265/u36jjuk0z5w1cutecpk3.webp,true
"""6663175c6bfd9ac84733469f""",sorrentinos,jamon y queso,don yeyo,400g,1990,frescos,https://res.cloudinary.com/dp7xhhcec/image/upload/v1717787295/homeywzf82nwyltcjvru.webp,false
"""6663175c6bfd9ac8473346a0""",ñoquis,con papa,don yeyo,500g,1600,frescos,https://res.cloudinary.com/dp7xhhcec/image/upload/v1717787346/nokgkbogs3i5bxh0olt0.webp,true
"""6663175c6bfd9ac8473346a1""",capelletis,carne y jamon,don yeyo,400g,2200,frescos,https://res.cloudinary.com/dp7xhhcec/image/upload/v1717787321/aphzbov8x1uxdmvcazc2.webp,false
"""6663175c6bfd9ac8473346a2""",capelletis,jamon y queso,don yeyo,400g,2350,frescos,https://res.cloudinary.com/dp7xhhcec/image/upload/v1717787360/pgcsyr9h6bkvbfa9thet.webp,true
"""6663175c6bfd9ac8473346a3""",pan,hamburguesas,don yeyo,210g,1200,almacen,https://res.cloudinary.com/dp7xhhcec/image/upload/v1717787374/wgenveyxnf07xwqz0o09.webp,true
"""6663175c6bfd9ac8473346a5""",pan,100% granos enteros,don yeyo,400g,2200,almacen,https://res.cloudinary.com/dp7xhhcec/image/upload/v1717787400/wibnhlxqy1o737rjqvv1.webp,true
"""6663175c6bfd9ac8473346a4""",pan,panchos,don yeyo,210g,1200,almacen,https://res.cloudinary.com/dp7xhhcec/image/upload/v1717787387/zubyffgdd3szenodrgla.webp,true
"""6663175c6bfd9ac8473346a8""",pan,lacteado,don yeyo,600g,2600,almacen,https://res.cloudinary.com/dp7xhhcec/image/upload/v1717787456/a1lf0b4dvf409xpze5wp.webp,true
